AC NO.,AC NAME,TOTAL ELECTORS,SL_NO,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,GENERAL,POSTAL,TOTAL,VOTE_PERCENT,AC TOTAL,VOTE SHARE,is_winner,YEAR
108,Sibsagar,135478,3,PROMODE CH. GOGOI,M,79,GEN,CPI,6176,20,6196,6.51,95204,0.06508129910507962,0,2011
108,Sibsagar,135478,4,JAYANTA RAJKONWAR,M,48,GEN,BJP,5396,9,5405,5.68,95204,0.0567728246712323,0,2011
108,Sibsagar,135478,5,SEIKH MUJIBUR RAHMAN,M,38,GEN,NCP,1266,6,1272,1.34,95204,0.013360783160371413,0,2011
108,Sibsagar,135478,6,AMANUDDIN AHMED,M,63,GEN,AIUDF,1046,3,1049,1.1,95204,0.011018444603167935,0,2011
108,Sibsagar,135478,7,PRADIP PACHANI,M,42,GEN,AITC,649,1,650,0.68,95204,0.006827444225032561,0,2011
109,Bihpuria,120914,1,BHUPEN KUMAR BORA,M,41,GEN,INC,45907,13,45920,49.48,92799,0.49483291845817307,1,2011
109,Bihpuria,120914,2,KESHARAM BORA,M,55,ST,AGP,33724,40,33764,36.38,92799,0.3638401275875818,0,2011
109,Bihpuria,120914,3,PRAFULLA BORA,M,48,GEN,NCP,5836,0,5836,6.29,92799,0.06288860871345596,0,2011
109,Bihpuria,120914,4,DHRUBA BANIA,M,43,SC,BJP,4302,2,4304,4.64,92799,0.046379810127264304,0,2011
109,Bihpuria,120914,5,MUHIRAM BASUMATARY,M,38,ST,IND,1129,0,1129,1.22,92799,0.012166079375855343,0,2011
109,Bihpuria,120914,6,HIUEN BASUMATARY,M,32,ST,AITC,806,0,806,0.87,92799,0.008685438420672636,0,2011
109,Bihpuria,120914,7,PREMADHAR BORA,M,78,GEN,IND,555,0,555,0.6,92799,0.00598066789512818,0,2011
109,Bihpuria,120914,8,PROBIN BORA,M,58,GEN,IND,244,0,244,0.26,92799,0.0026293386782185154,0,2011
109,Bihpuria,120914,9,KISHORE DEORI,M,52,ST,IND,241,0,241,0.26,92799,0.002597010743650255,0,2011
110,Naoboicha,156440,1,SANJAY RAJ SUBBA,M,50,GEN,INC,33925,21,33946,27.06,125425,0.27064779748853895,1,2011
110,Naoboicha,156440,2,MAMUN IMADADUL HAQUE CHOWDHURY,M,31,GEN,AIUDF,27266,22,27288,21.76,125425,0.21756428144309348,0,2011
110,Naoboicha,156440,3,RAO GAJENDRA SINGH,M,51,GEN,BJP,22326,2,22328,17.8,125425,0.1780187362965916,0,2011
110,Naoboicha,156440,4,SULTAN MEHDI,M,32,GEN,IND,16850,5,16855,13.44,125425,0.13438309746860674,0,2011
110,Naoboicha,156440,5,PHANIDHAR BARUAH,M,54,GEN,AGP,11710,11,11721,9.35,125425,0.09345026908511063,0,2011
110,Naoboicha,156440,6,GANESH PRADHAN,M,42,GEN,IND,4207,0,4207,3.35,125425,0.03354195734502691,0,2011
110,Naoboicha,156440,7,DR. PRADIP KR. PATRA,M,63,GEN,IND,2938,0,2938,2.34,125425,0.023424357185569067,0,2011
110,Naoboicha,156440,8,JAYANTA KHOUND,M,42,GEN,IND,1994,1,1995,1.59,125425,0.015905919872433727,0,2011
110,Naoboicha,156440,9,VINOD PASI,M,26,GEN,AITC,1670,1,1671,1.33,125425,0.013322702810444488,0,2011
110,Naoboicha,156440,10,EUNUS ALI,M,45,GEN,IND,942,0,942,0.75,125425,0.007510464420968707,0,2011
110,Naoboicha,156440,11,SUCHIL BORI,M,30,ST,SUCI,673,0,673,0.54,125425,0.005365756428144309,0,2011
110,Naoboicha,156440,12,KHALILUR RAHMAN,M,46,GEN,IND,463,0,463,0.37,125425,0.0036914490731512857,0,2011
110,Naoboicha,156440,13,SHYAMAL HAZARIKA.,M,26,GEN,SP,398,0,398,0.32,125425,0.0031732110823201117,0,2011
111,Lakhimpur,141363,1,UTPAL DUTTA,M,50,GEN,AGP,52503,60,52563,47.46,110744,0.4746351946832334,1,2011
111,Lakhimpur,141363,2,GHANA BURAGOHAIN,M,45,GEN,INC,51425,39,51464,46.47,110744,0.4647114064870332,0,2011
111,Lakhimpur,141363,3,BANTI BONIA,F,43,SC,BJP,2036,4,2040,1.84,110744,0.018420862529798455,0,2011
111,Lakhimpur,141363,4,DILWAR HUSSAIN,M,37,GEN,AIUDF,1707,0,1707,1.54,110744,0.01541392761684606,0,2011
111,Lakhimpur,141363,5,ARUP KALITA,M,40,GEN,CPI,1392,0,1392,1.26,110744,0.012569529726215415,0,2011
