AC NO.,AC NAME,TOTAL ELECTORS,SL_NO,CANDIDATE NAME,SEX,AGE,CATEGORY,PARTY,GENERAL,POSTAL,TOTAL,VOTE_PERCENT,AC TOTAL,VOTE SHARE,is_winner,YEAR
14,Raj bhavan,24802,2,M. SARAVANAKUMAR,M,41,GEN,AIADMK,4321,6,4327,22.62,19133,0.22615376574504784,0,2011
14,Raj bhavan,24802,3,ANNIBAL NEHRU,M,45,GEN,IND,2520,16,2536,13.25,19133,0.13254586316834788,0,2011
14,Raj bhavan,24802,4,S.P. LALLU,M,55,GEN,BJP,553,2,555,2.9,19133,0.02900747399780484,0,2011
14,Raj bhavan,24802,5,I.M. SEKAR NAICKER,M,49,GEN,IND,227,0,227,1.19,19133,0.011864318193696754,0,2011
14,Raj bhavan,24802,6,M. ARUMAI SELVAM,M,56,GEN,IND,90,0,90,0.47,19133,0.004703914702346731,0,2011
15,Oupalam,25639,1,A. ANBALAGAN,M,54,GEN,AIADMK,9496,40,9536,42.59,22388,0.4259424691799178,1,2011
15,Oupalam,25639,2,N. ANAND,M,48,GEN,IND,6293,39,6332,28.28,22388,0.28283008754690014,0,2011
15,Oupalam,25639,3,ANNIBAL KENNEDY,M,46,GEN,DMK,6085,37,6122,27.35,22388,0.27345006253350007,0,2011
15,Oupalam,25639,4,MOULANA ABDUL KHADIR,M,51,GEN,IND,159,0,159,0.71,22388,0.00710201893871717,0,2011
15,Oupalam,25639,5,R. ANAND,M,26,GEN,IND,111,1,112,0.5,22388,0.005002680007146686,0,2011
15,Oupalam,25639,6,IROUDHAYARAZ JULE,M,40,SC,BSP,50,0,50,0.22,22388,0.0022333392889047703,0,2011
15,Oupalam,25639,7,MANIVANNAN,M,35,GEN,IND,47,0,47,0.21,22388,0.002099338931570484,0,2011
15,Oupalam,25639,8,ANGAPPIN @ ROUSSEAU ANGAPPIN,M,51,SC,LJP,18,0,18,0.08,22388,0.0008040021440057173,0,2011
15,Oupalam,25639,9,S. ANTHONI,M,31,GEN,IND,12,0,12,0.05,22388,0.0005360014293371449,0,2011
16,Orleampeth,23631,1,G. NEHRU @ KUPPUSAMY,M,47,GEN,AINRC,10913,73,10986,55.26,19880,0.5526156941649899,1,2011
16,Orleampeth,23631,2,R. SIVA,M,43,GEN,DMK,8300,68,8368,42.09,19880,0.42092555331991954,0,2011
16,Orleampeth,23631,3,S. NEHRU,M,27,GEN,IND,246,1,247,1.24,19880,0.012424547283702214,0,2011
16,Orleampeth,23631,4,K. RAMALINGAM,M,54,GEN,IND,76,0,76,0.38,19880,0.003822937625754527,0,2011
